# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-O" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/3126.1.all.q/genomes/tb927_6/tb927_6.gtf" "-o" "/tmp/3126.1.all.q/P1C/counts.txt" "/tmp/3126.1.all.q/P1C/P1Csorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/3126.1.all.q/P1C/P1Csorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	1
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	5
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	0
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	1
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	0
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	173
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	0
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	0
Tb10.v4.0081	tryp_X-188b09.p2kB601	19250	20774	+	1525	0
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	3
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	0
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	0
Tb927.8.110	Tb927_08_v5.1	3244	4698	+	1455	1
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	3
Tb927.8.130	Tb927_08_v5.1	7309	10072	+	2764	23
Tb927.8.140	Tb927_08_v5.1	10953	11472	+	520	0
Tb927.8.150	Tb927_08_v5.1	12682	20445	+	7764	292
Tb927.8.160	Tb927_08_v5.1	21627	23681	+	2055	0
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	0
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	0
Tb927.8.190	Tb927_08_v5.1	29452	31046	+	1595	0
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	3
Tb927.8.210	Tb927_08_v5.1	33526	35078	+	1553	0
Tb927.8.220	Tb927_08_v5.1	36916	38437	+	1522	1
Tb927.8.230	Tb927_08_v5.1	39787	40888	+	1102	9
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	0
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	0
Tb927.8.260	Tb927_08_v5.1	46530	48055	+	1526	0
Tb927.8.270	Tb927_08_v5.1	51024	64023	+	13000	2682
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	2
Tb927.8.290	Tb927_08_v5.1	69197	70716	+	1520	0
Tb927.8.300	Tb927_08_v5.1	72810	74841	+	2032	0
Tb927.8.310	Tb927_08_v5.1	75869	77280	+	1412	0
Tb927.8.320	Tb927_08_v5.1	80097	86013	+	5917	68
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	0
Tb927.8.340	Tb927_08_v5.1	90887	93874	+	2988	0
Tb927.8.350	Tb927_08_v5.1	94593	98427	+	3835	51
Tb927.8.360	Tb927_08_v5.1	98581	100054	+	1474	0
Tb927.8.370	Tb927_08_v5.1	101170	102323	+	1154	96
Tb927.8.380	Tb927_08_v5.1	102499	104385	+	1887	1
Tb927.8.390	Tb927_08_v5.1	105019	106006	+	988	444
Tb927.8.400	Tb927_08_v5.1	106153	107750	+	1598	0
Tb927.8.410	Tb927_08_v5.1	108919	110449	+	1531	0
Tb927.8.420	Tb927_08_v5.1	112157	113708	+	1552	0
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	0
Tb927.8.440	Tb927_08_v5.1	118408	119911	+	1504	0
Tb927.8.443	Tb927_08_v5.1	122247	122382	-	136	194
Tb927.8.446	Tb927_08_v5.1	122700	122777	-	78	1
Tb927.8.449	Tb927_08_v5.1	123108	123290	-	183	496
Tb927.8.450	Tb927_08_v5.1	124234	125246	+	1013	125
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	0
Tb927.8.470	Tb927_08_v5.1	129542	135147	+	5606	299
Tb927.8.480	Tb927_08_v5.1	135693	137806	-	2114	1302
Tb927.8.490	Tb927_08_v5.1	138767	139630	-	864	532
Tb927.8.500	Tb927_08_v5.1	139718	140745	-	1028	134
Tb927.8.510	Tb927_08_v5.1	141813	142640	-	828	112
Tb927.8.520	Tb927_08_v5.1	142728	148012	-	5285	642
Tb927.8.530	Tb927_08_v5.1	148507	151486	-	2980	5725
Tb927.8.540	Tb927_08_v5.1	149978	159001	-	9024	16082
Tb927.8.550	Tb927_08_v5.1	159308	160440	-	1133	3419
Tb927.8.560	Tb927_08_v5.1	160542	162621	-	2080	4914
Tb927.8.570	Tb927_08_v5.1	162763	164349	-	1587	9118
Tb927.8.580	Tb927_08_v5.1	164471	165702	-	1232	2318
Tb927.8.590	Tb927_08_v5.1	165814	169182	-	3369	7759
Tb927.8.595	Tb927_08_v5.1	169313	169788	-	476	3787
Tb927.8.600	Tb927_08_v5.1	169873	171080	-	1208	3486
Tb8.NT.8	Tb927_08_v5.1	171178	171709	-	532	909
Tb927.8.610	Tb927_08_v5.1	171816	175081	-	3266	6979
Tb927.8.620	Tb927_08_v5.1	175193	176691	-	1499	3645
Tb927.8.630	Tb927_08_v5.1	176838	178436	-	1599	2575
Tb927.8.640	Tb927_08_v5.1	178808	179191	-	384	1510
Tb927.8.650	Tb927_08_v5.1	179692	183769	-	4078	27845
Tb927.8.660	Tb927_08_v5.1	184411	185403	-	993	1220
Tb927.8.670	Tb927_08_v5.1	186156	188368	-	2213	3868
Tb927.8.680	Tb927_08_v5.1	188501	189112	-	612	1566
Tb8.NT.9	Tb927_08_v5.1	189238	189777	-	540	532
Tb927.8.690	Tb927_08_v5.1	190302	190773	-	472	3286
Tb927.8.700	Tb927_08_v5.1	191287	195097	-	3811	5932
Tb927.8.710	Tb927_08_v5.1	195245	200617	-	5373	30397
Tb8.NT.11	Tb927_08_v5.1	200670	202899	-	2230	5393
Tb927.8.720	Tb927_08_v5.1	203019	203947	-	929	4144
Tb927.8.730	Tb927_08_v5.1	204064	205432	-	1369	31771
Tb927.8.740	Tb927_08_v5.1	205974	206494	-	521	3119
Tb927.8.750	Tb927_08_v5.1	207159	208284	-	1126	4804
Tb927.8.760	Tb927_08_v5.1	208445	209932	-	1488	25967
Tb927.8.770	Tb927_08_v5.1	210067	213373	-	3307	12644
Tb927.8.780	Tb927_08_v5.1	213736	216939	-	3204	7294
Tb927.8.790	Tb927_08_v5.1	216976	221800	-	4825	8547
Tb927.8.800	Tb927_08_v5.1	223044	231003	-	7960	12406
Tb927.8.810	Tb927_08_v5.1	230939	233135	-	2197	7221
Tb927.8.820	Tb927_08_v5.1	233284	235613	-	2330	6425
Tb927.8.830	Tb927_08_v5.1	235597	241874	-	6278	11517
Tb927.8.840	Tb927_08_v5.1	242091	246359	-	4269	9113
Tb927.8.850	Tb927_08_v5.1	247305	249646	-	2342	4254
Tb927.8.860	Tb927_08_v5.1	249764	252350	-	2587	3605
Tb927.8.870	Tb927_08_v5.1	252259	259664	-	7406	13705
Tb927.8.880	Tb927_08_v5.1	259038	263937	-	4900	5907
Tb927.8.890	Tb927_08_v5.1	264765	267007	-	2243	40955
Tb8.NT.13	Tb927_08_v5.1	267137	267403	-	267	202
Tb927.8.900	Tb927_08_v5.1	267542	271571	-	4030	18880
Tb927.8.910	Tb927_08_v5.1	272330	285554	-	13225	7117
Tb927.8.920	Tb927_08_v5.1	285749	286384	-	636	1973
Tb927.8.930	Tb927_08_v5.1	287095	288555	-	1461	6211
Tb927.8.940	Tb927_08_v5.1	288675	296405	-	7731	16792
Tb927.8.950	Tb927_08_v5.1	297160	298982	-	1823	7544
Tb927.8.960	Tb927_08_v5.1	299102	306832	-	7731	16484
Tb927.8.970	Tb927_08_v5.1	306968	309377	-	2410	6631
Tb927.8.980	Tb927_08_v5.1	309497	313499	-	4003	14858
Tb927.8.990	Tb927_08_v5.1	316912	318340	-	1429	9666
Tb927.8.1000	Tb927_08_v5.1	318450	320266	-	1817	4140
Tb927.8.1010	Tb927_08_v5.1	320505	322488	-	1984	3947
Tb927.8.1020	Tb927_08_v5.1	322613	326228	-	3616	7575
Tb927.8.1030	Tb927_08_v5.1	326355	327866	-	1512	3586
Tb927.8.1040	Tb927_08_v5.1	328540	329257	-	718	2333
Tb927.8.1050	Tb927_08_v5.1	329013	338871	-	9859	15604
Tb927.8.1060	Tb927_08_v5.1	339001	342165	-	3165	7108
Tb927.8.1070	Tb927_08_v5.1	342260	345192	-	2933	5648
Tb927.8.1080	Tb927_08_v5.1	345294	346578	-	1285	4967
Tb927.8.1090	Tb927_08_v5.1	347671	350166	-	2496	5967
Tb927.8.1100	Tb927_08_v5.1	350373	355159	-	4787	14428
Tb927.8.1110	Tb927_08_v5.1	355300	356303	-	1004	55646
Tb927.8.1120	Tb927_08_v5.1	357038	357590	-	553	3122
Tb927.8.1130	Tb927_08_v5.1	357788	364726	-	6939	8768
Tb927.8.1140	Tb927_08_v5.1	364870	366299	-	1430	3626
Tb927.8.1150	Tb927_08_v5.1	366439	368626	-	2188	10897
Tb927.8.1160	Tb927_08_v5.1	369465	372912	-	3448	12847
Tb927.8.1170	Tb927_08_v5.1	373426	374487	-	1062	5200
Tb927.8.1180	Tb927_08_v5.1	375186	379041	-	3856	12292
Tb927.8.1190	Tb927_08_v5.1	379555	380614	-	1060	5238
Tb927.8.1200	Tb927_08_v5.1	381320	385491	-	4172	14346
Tb927.8.1210	Tb927_08_v5.1	385805	388023	-	2219	13564
Tb927.8.1220	Tb927_08_v5.1	388195	389215	-	1021	4285
Tb927.8.1230	Tb927_08_v5.1	389413	390459	-	1047	9004
Tb927.8.1240	Tb927_08_v5.1	390667	393466	-	2800	5646
Tb927.8.1250	Tb927_08_v5.1	394308	396916	-	2609	9774
Tb927.8.1260	Tb927_08_v5.1	397029	400520	-	3492	3780
Tb927.8.1270	Tb927_08_v5.1	401510	403005	-	1496	4062
Tb927.8.1280	Tb927_08_v5.1	403359	409909	-	6551	8680
Tb927.8.1290	Tb927_08_v5.1	410088	417663	-	7576	5998
Tb8.NT.18	Tb927_08_v5.1	417773	418533	-	761	1143
Tb927.8.1300	Tb927_08_v5.1	419694	422815	-	3122	6192
Tb927.8.1305	Tb927_08_v5.1	423631	423747	-	117	561
Tb927.8.1310	Tb927_08_v5.1	423870	425679	-	1810	5213
Tb927.8.1320	Tb927_08_v5.1	425782	428007	-	2226	7965
Tb927.8.1330	Tb927_08_v5.1	428131	429091	-	961	53834
Tb927.8.1340	Tb927_08_v5.1	429236	430167	-	932	53788
Tb927.8.1350	Tb927_08_v5.1	430515	431747	-	1233	2723
Tb927.8.1360	Tb927_08_v5.1	432137	444849	-	12713	13256
Tb927.8.1370	Tb927_08_v5.1	444971	445514	-	544	1689
Tb927.8.1380	Tb927_08_v5.1	445971	447330	+	1360	3760
Tb927.8.1381	Tb927_08_v5.1	454111	454229	-	119	34
Tb927.8.1382	Tb927_08_v5.1	454846	454964	-	119	21
Tb927.8.1383	Tb927_08_v5.1	455582	455700	-	119	24
Tb927.8.1384	Tb927_08_v5.1	456318	456436	-	119	28
Tb927.8.1385	Tb927_08_v5.1	457054	457172	-	119	17
Tb927.8.1386	Tb927_08_v5.1	457790	457908	-	119	21
Tb927.8.1387	Tb927_08_v5.1	458526	458644	-	119	23
Tb927.8.1388	Tb927_08_v5.1	459261	459379	-	119	21
Tb927.8.1389	Tb927_08_v5.1	460411	460441	-	31	5
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	1478
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	1247
Tb927.8.1410	Tb927_08_v5.1	464007	466752	+	2746	2334
Tb927.8.1420	Tb927_08_v5.1	466574	468329	+	1756	3981
Tb927.8.1430	Tb927_08_v5.1	468547	469069	+	523	1084
Tb927.8.1440	Tb927_08_v5.1	469240	470168	+	929	3423
Tb927.8.1450	Tb927_08_v5.1	470342	471897	+	1556	2563
Tb927.8.1460	Tb927_08_v5.1	472418	474552	+	2135	6527
Tb927.8.1470	Tb927_08_v5.1	475840	477798	+	1959	3602
Tb927.8.1480	Tb927_08_v5.1	478006	485829	+	7824	13452
Tb927.8.1490	Tb927_08_v5.1	485964	486506	+	543	2369
Tb927.8.1500	Tb927_08_v5.1	487214	490779	+	3566	14166
Tb927.8.1510	Tb927_08_v5.1	490250	494620	+	4371	20696
Tb927.8.1520	Tb927_08_v5.1	494959	496260	+	1302	4860
Tb927.8.1530	Tb927_08_v5.1	496560	499061	+	2502	6079
Tb927.8.1540	Tb927_08_v5.1	499185	501987	+	2803	6690
Tb927.8.1550	Tb927_08_v5.1	502944	505552	+	2609	21822
Tb927.8.1560	Tb927_08_v5.1	507863	510107	+	2245	6268
Tb927.8.1570	Tb927_08_v5.1	510700	512565	+	1866	8095
Tb927.8.1580	Tb927_08_v5.1	513888	515874	+	1987	5749
Tb927.8.1590	Tb927_08_v5.1	516038	530691	+	14654	19991
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	530856;531301	533364;533364	+;+	2509	27633
Tb927_08_v4.snoRNA.0025	Tb927_08_v5.1	533529	533606	+	78	558
Tb927_08_v4.snoRNA.0016	Tb927_08_v5.1	533634	533716	+	83	664
Tb927_08_v4.snoRNA.0006	Tb927_08_v5.1	533809	533882	+	74	486
